"","genre1","genre2","title"
"1","Action","Adventure","2012"
"2","Action","Science Fiction","2012"
"3","Adventure","Science Fiction","2012"
"4","Drama","Action","47 Ronin"
"5","Drama","Adventure","47 Ronin"
"6","Drama","Fantasy","47 Ronin"
"7","Action","Adventure","47 Ronin"
"8","Action","Fantasy","47 Ronin"
"9","Adventure","Fantasy","47 Ronin"
"10","Animation","Drama","A Christmas Carol"
"11","Family","Fantasy","Alice in Wonderland"
"12","Family","Adventure","Alice in Wonderland"
"13","Fantasy","Adventure","Alice in Wonderland"
"14","Action","Adventure","Avatar"
"15","Action","Fantasy","Avatar"
"16","Action","Science Fiction","Avatar"
"17","Adventure","Fantasy","Avatar"
"18","Adventure","Science Fiction","Avatar"
"19","Fantasy","Science Fiction","Avatar"
"20","Action","Adventure","Avengers: Age of Ultron"
"21","Action","Science Fiction","Avengers: Age of Ultron"
"22","Adventure","Science Fiction","Avengers: Age of Ultron"
"23","Action","Adventure","Batman v Superman: Dawn of Justice"
"24","Action","Fantasy","Batman v Superman: Dawn of Justice"
"25","Adventure","Fantasy","Batman v Superman: Dawn of Justice"
"26","Thriller","Action","Battleship"
"27","Thriller","Adventure","Battleship"
"28","Thriller","Science Fiction","Battleship"
"29","Action","Adventure","Battleship"
"30","Action","Science Fiction","Battleship"
"31","Adventure","Science Fiction","Battleship"
"32","Adventure","Family","Big Hero 6"
"33","Adventure","Animation","Big Hero 6"
"34","Adventure","Action","Big Hero 6"
"35","Adventure","Comedy","Big Hero 6"
"36","Family","Animation","Big Hero 6"
"37","Family","Action","Big Hero 6"
"38","Family","Comedy","Big Hero 6"
"39","Animation","Action","Big Hero 6"
"40","Animation","Comedy","Big Hero 6"
"41","Action","Comedy","Big Hero 6"
"42","Animation","Adventure","Brave"
"43","Animation","Comedy","Brave"
"44","Animation","Family","Brave"
"45","Animation","Action","Brave"
"46","Animation","Fantasy","Brave"
"47","Adventure","Comedy","Brave"
"48","Adventure","Family","Brave"
"49","Adventure","Action","Brave"
"50","Adventure","Fantasy","Brave"
"51","Comedy","Family","Brave"
"52","Comedy","Action","Brave"
"53","Comedy","Fantasy","Brave"
"54","Family","Action","Brave"
"55","Family","Fantasy","Brave"
"56","Action","Fantasy","Brave"
"57","Adventure","Action","Captain America: Civil War"
"58","Adventure","Science Fiction","Captain America: Civil War"
"59","Action","Science Fiction","Captain America: Civil War"
"60","Action","Adventure","Captain America: The Winter Soldier"
"61","Action","Science Fiction","Captain America: The Winter Soldier"
"62","Adventure","Science Fiction","Captain America: The Winter Soldier"
"63","Animation","Family","Cars 2"
"64","Animation","Adventure","Cars 2"
"65","Animation","Comedy","Cars 2"
"66","Family","Adventure","Cars 2"
"67","Family","Comedy","Cars 2"
"68","Adventure","Comedy","Cars 2"
"69","Science Fiction","Action","Dawn of the Planet of the Apes"
"70","Science Fiction","Drama","Dawn of the Planet of the Apes"
"71","Science Fiction","Thriller","Dawn of the Planet of the Apes"
"72","Action","Drama","Dawn of the Planet of the Apes"
"73","Action","Thriller","Dawn of the Planet of the Apes"
"74","Drama","Thriller","Dawn of the Planet of the Apes"
"75","Action","Science Fiction","Edge of Tomorrow"
"76","Fantasy","Comedy","Evan Almighty"
"77","Fantasy","Family","Evan Almighty"
"78","Comedy","Family","Evan Almighty"
"79","Adventure","Action","G.I. Joe: The Rise of Cobra"
"80","Adventure","Thriller","G.I. Joe: The Rise of Cobra"
"81","Adventure","Science Fiction","G.I. Joe: The Rise of Cobra"
"82","Action","Thriller","G.I. Joe: The Rise of Cobra"
"83","Action","Science Fiction","G.I. Joe: The Rise of Cobra"
"84","Thriller","Science Fiction","G.I. Joe: The Rise of Cobra"
"85","Adventure","Action","Green Lantern"
"86","Adventure","Thriller","Green Lantern"
"87","Adventure","Science Fiction","Green Lantern"
"88","Action","Thriller","Green Lantern"
"89","Action","Science Fiction","Green Lantern"
"90","Thriller","Science Fiction","Green Lantern"
"91","Action","Science Fiction","Guardians of the Galaxy"
"92","Action","Adventure","Guardians of the Galaxy"
"93","Science Fiction","Adventure","Guardians of the Galaxy"
"94","Adventure","Fantasy","Harry Potter and the Half-Blood Prince"
"95","Adventure","Family","Harry Potter and the Half-Blood Prince"
"96","Fantasy","Family","Harry Potter and the Half-Blood Prince"
"97","Fantasy","Adventure","How to Train Your Dragon"
"98","Fantasy","Animation","How to Train Your Dragon"
"99","Fantasy","Family","How to Train Your Dragon"
"100","Adventure","Animation","How to Train Your Dragon"
"101","Adventure","Family","How to Train Your Dragon"
"102","Animation","Family","How to Train Your Dragon"
"103","Adventure","Drama","Hugo"
"104","Adventure","Family","Hugo"
"105","Drama","Family","Hugo"
"106","Action","Thriller","Inception"
"107","Action","Science Fiction","Inception"
"108","Action","Mystery","Inception"
"109","Action","Adventure","Inception"
"110","Thriller","Science Fiction","Inception"
"111","Thriller","Mystery","Inception"
"112","Thriller","Adventure","Inception"
"113","Science Fiction","Mystery","Inception"
"114","Science Fiction","Adventure","Inception"
"115","Mystery","Adventure","Inception"
"116","Action","Adventure","Independence Day: Resurgence"
"117","Action","Science Fiction","Independence Day: Resurgence"
"118","Adventure","Science Fiction","Independence Day: Resurgence"
"119","Adventure","Action","Indiana Jones and the Kingdom of the Crystal Skull"
"120","Drama","Comedy","Inside Out"
"121","Drama","Animation","Inside Out"
"122","Drama","Family","Inside Out"
"123","Comedy","Animation","Inside Out"
"124","Comedy","Family","Inside Out"
"125","Animation","Family","Inside Out"
"126","Adventure","Drama","Interstellar"
"127","Adventure","Science Fiction","Interstellar"
"128","Drama","Science Fiction","Interstellar"
"129","Adventure","Action","Iron Man 2"
"130","Adventure","Science Fiction","Iron Man 2"
"131","Action","Science Fiction","Iron Man 2"
"132","Action","Adventure","Iron Man 3"
"133","Action","Science Fiction","Iron Man 3"
"134","Adventure","Science Fiction","Iron Man 3"
"135","Action","Family","Jack the Giant Slayer"
"136","Action","Fantasy","Jack the Giant Slayer"
"137","Family","Fantasy","Jack the Giant Slayer"
"138","Action","Adventure","John Carter"
"139","Action","Science Fiction","John Carter"
"140","Adventure","Science Fiction","John Carter"
"141","Science Fiction","Fantasy","Jupiter Ascending"
"142","Science Fiction","Action","Jupiter Ascending"
"143","Science Fiction","Adventure","Jupiter Ascending"
"144","Fantasy","Action","Jupiter Ascending"
"145","Fantasy","Adventure","Jupiter Ascending"
"146","Action","Adventure","Jupiter Ascending"
"147","Adventure","Drama","King Kong"
"148","Adventure","Action","King Kong"
"149","Drama","Action","King Kong"
"150","Fantasy","Adventure","Maleficent"
"151","Fantasy","Action","Maleficent"
"152","Fantasy","Family","Maleficent"
"153","Fantasy","Romance","Maleficent"
"154","Adventure","Action","Maleficent"
"155","Adventure","Family","Maleficent"
"156","Adventure","Romance","Maleficent"
"157","Action","Family","Maleficent"
"158","Action","Romance","Maleficent"
"159","Family","Romance","Maleficent"
"160","Action","Adventure","Man of Steel"
"161","Action","Fantasy","Man of Steel"
"162","Action","Science Fiction","Man of Steel"
"163","Adventure","Fantasy","Man of Steel"
"164","Adventure","Science Fiction","Man of Steel"
"165","Fantasy","Science Fiction","Man of Steel"
"166","Action","Comedy","Men in Black 3"
"167","Action","Science Fiction","Men in Black 3"
"168","Comedy","Science Fiction","Men in Black 3"
"169","Animation","Family","Monsters University"
"170","Animation","Family","Monsters vs Aliens"
"171","Animation","Adventure","Monsters vs Aliens"
"172","Animation","Science Fiction","Monsters vs Aliens"
"173","Family","Adventure","Monsters vs Aliens"
"174","Family","Science Fiction","Monsters vs Aliens"
"175","Adventure","Science Fiction","Monsters vs Aliens"
"176","Fantasy","Adventure","Oz: The Great and Powerful"
"177","Fantasy","Family","Oz: The Great and Powerful"
"178","Adventure","Family","Oz: The Great and Powerful"
"179","Action","Science Fiction","Pacific Rim"
"180","Action","Adventure","Pacific Rim"
"181","Science Fiction","Adventure","Pacific Rim"
"182","Adventure","Fantasy","Pirates of the Caribbean: At World's End"
"183","Adventure","Action","Pirates of the Caribbean: At World's End"
"184","Fantasy","Action","Pirates of the Caribbean: At World's End"
"185","Adventure","Fantasy","Pirates of the Caribbean: Dead Man's Chest"
"186","Adventure","Action","Pirates of the Caribbean: Dead Man's Chest"
"187","Fantasy","Action","Pirates of the Caribbean: Dead Man's Chest"
"188","Adventure","Action","Pirates of the Caribbean: On Stranger Tides"
"189","Adventure","Fantasy","Pirates of the Caribbean: On Stranger Tides"
"190","Action","Fantasy","Pirates of the Caribbean: On Stranger Tides"
"191","Adventure","Action","Poseidon"
"192","Adventure","Drama","Poseidon"
"193","Adventure","Thriller","Poseidon"
"194","Action","Drama","Poseidon"
"195","Action","Thriller","Poseidon"
"196","Drama","Thriller","Poseidon"
"197","Adventure","Action","Quantum of Solace"
"198","Adventure","Thriller","Quantum of Solace"
"199","Adventure","Crime","Quantum of Solace"
"200","Action","Thriller","Quantum of Solace"
"201","Action","Crime","Quantum of Solace"
"202","Thriller","Crime","Quantum of Solace"
"203","Action","Adventure","Robin Hood"
"204","Comedy","Adventure","Shrek Forever After"
"205","Comedy","Fantasy","Shrek Forever After"
"206","Comedy","Animation","Shrek Forever After"
"207","Comedy","Family","Shrek Forever After"
"208","Adventure","Fantasy","Shrek Forever After"
"209","Adventure","Animation","Shrek Forever After"
"210","Adventure","Family","Shrek Forever After"
"211","Fantasy","Animation","Shrek Forever After"
"212","Fantasy","Family","Shrek Forever After"
"213","Animation","Family","Shrek Forever After"
"214","Fantasy","Adventure","Shrek the Third"
"215","Fantasy","Animation","Shrek the Third"
"216","Fantasy","Comedy","Shrek the Third"
"217","Fantasy","Family","Shrek the Third"
"218","Adventure","Animation","Shrek the Third"
"219","Adventure","Comedy","Shrek the Third"
"220","Adventure","Family","Shrek the Third"
"221","Animation","Comedy","Shrek the Third"
"222","Animation","Family","Shrek the Third"
"223","Comedy","Family","Shrek the Third"
"224","Action","Adventure","Skyfall"
"225","Action","Thriller","Skyfall"
"226","Adventure","Thriller","Skyfall"
"227","Adventure","Fantasy","Snow White and the Huntsman"
"228","Adventure","Drama","Snow White and the Huntsman"
"229","Fantasy","Drama","Snow White and the Huntsman"
"230","Action","Adventure","Spectre"
"231","Action","Crime","Spectre"
"232","Adventure","Crime","Spectre"
"233","Action","Adventure","Speed 2: Cruise Control"
"234","Action","Thriller","Speed 2: Cruise Control"
"235","Adventure","Thriller","Speed 2: Cruise Control"
"236","Action","Adventure","Spider-Man 2"
"237","Action","Fantasy","Spider-Man 2"
"238","Adventure","Fantasy","Spider-Man 2"
"239","Fantasy","Action","Spider-Man 3"
"240","Fantasy","Adventure","Spider-Man 3"
"241","Action","Adventure","Spider-Man 3"
"242","Action","Adventure","Star Trek Beyond"
"243","Action","Science Fiction","Star Trek Beyond"
"244","Adventure","Science Fiction","Star Trek Beyond"
"245","Action","Adventure","Star Trek Into Darkness"
"246","Action","Science Fiction","Star Trek Into Darkness"
"247","Adventure","Science Fiction","Star Trek Into Darkness"
"248","Action","Adventure","Suicide Squad"
"249","Action","Crime","Suicide Squad"
"250","Action","Fantasy","Suicide Squad"
"251","Action","Science Fiction","Suicide Squad"
"252","Adventure","Crime","Suicide Squad"
"253","Adventure","Fantasy","Suicide Squad"
"254","Adventure","Science Fiction","Suicide Squad"
"255","Crime","Fantasy","Suicide Squad"
"256","Crime","Science Fiction","Suicide Squad"
"257","Fantasy","Science Fiction","Suicide Squad"
"258","Adventure","Fantasy","Superman Returns"
"259","Adventure","Action","Superman Returns"
"260","Adventure","Science Fiction","Superman Returns"
"261","Fantasy","Action","Superman Returns"
"262","Fantasy","Science Fiction","Superman Returns"
"263","Action","Science Fiction","Superman Returns"
"264","Animation","Family","Tangled"
"265","Action","Thriller","Terminator 3: Rise of the Machines"
"266","Action","Science Fiction","Terminator 3: Rise of the Machines"
"267","Thriller","Science Fiction","Terminator 3: Rise of the Machines"
"268","Action","Science Fiction","Terminator Salvation"
"269","Action","Thriller","Terminator Salvation"
"270","Science Fiction","Thriller","Terminator Salvation"
"271","Adventure","Fantasy","The 13th Warrior"
"272","Adventure","Action","The 13th Warrior"
"273","Fantasy","Action","The 13th Warrior"
"274","Action","Adventure","The Amazing Spider-Man"
"275","Action","Fantasy","The Amazing Spider-Man"
"276","Adventure","Fantasy","The Amazing Spider-Man"
"277","Action","Adventure","The Amazing Spider-Man 2"
"278","Action","Fantasy","The Amazing Spider-Man 2"
"279","Adventure","Fantasy","The Amazing Spider-Man 2"
"280","Science Fiction","Action","The Avengers"
"281","Science Fiction","Adventure","The Avengers"
"282","Action","Adventure","The Avengers"
"283","Adventure","Family","The Chronicles of Narnia: Prince Caspian"
"284","Adventure","Fantasy","The Chronicles of Narnia: Prince Caspian"
"285","Family","Fantasy","The Chronicles of Narnia: Prince Caspian"
"286","Adventure","Family","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
"287","Adventure","Fantasy","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
"288","Family","Fantasy","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
"289","Drama","Action","The Dark Knight"
"290","Drama","Crime","The Dark Knight"
"291","Drama","Thriller","The Dark Knight"
"292","Action","Crime","The Dark Knight"
"293","Action","Thriller","The Dark Knight"
"294","Crime","Thriller","The Dark Knight"
"295","Action","Crime","The Dark Knight Rises"
"296","Action","Drama","The Dark Knight Rises"
"297","Action","Thriller","The Dark Knight Rises"
"298","Crime","Drama","The Dark Knight Rises"
"299","Crime","Thriller","The Dark Knight Rises"
"300","Drama","Thriller","The Dark Knight Rises"
"301","Adventure","Fantasy","The Golden Compass"
"302","Adventure","Animation","The Good Dinosaur"
"303","Adventure","Family","The Good Dinosaur"
"304","Animation","Family","The Good Dinosaur"
"305","Adventure","Fantasy","The Hobbit: An Unexpected Journey"
"306","Adventure","Action","The Hobbit: An Unexpected Journey"
"307","Fantasy","Action","The Hobbit: An Unexpected Journey"
"308","Action","Adventure","The Hobbit: The Battle of the Five Armies"
"309","Action","Fantasy","The Hobbit: The Battle of the Five Armies"
"310","Adventure","Fantasy","The Hobbit: The Battle of the Five Armies"
"311","Adventure","Fantasy","The Hobbit: The Desolation of Smaug"
"312","Action","Adventure","The Hunger Games: Mockingjay - Part 2"
"313","Action","Science Fiction","The Hunger Games: Mockingjay - Part 2"
"314","Adventure","Science Fiction","The Hunger Games: Mockingjay - Part 2"
"315","Family","Adventure","The Jungle Book"
"316","Family","Drama","The Jungle Book"
"317","Family","Fantasy","The Jungle Book"
"318","Adventure","Drama","The Jungle Book"
"319","Adventure","Fantasy","The Jungle Book"
"320","Drama","Fantasy","The Jungle Book"
"321","Action","Adventure","The Legend of Tarzan"
"322","Action","Adventure","The Lone Ranger"
"323","Action","Western","The Lone Ranger"
"324","Adventure","Western","The Lone Ranger"
"325","Adventure","Animation","The Polar Express"
"326","Adventure","Family","The Polar Express"
"327","Adventure","Fantasy","The Polar Express"
"328","Animation","Family","The Polar Express"
"329","Animation","Fantasy","The Polar Express"
"330","Family","Fantasy","The Polar Express"
"331","Action","Adventure","Thor: The Dark World"
"332","Action","Fantasy","Thor: The Dark World"
"333","Adventure","Fantasy","Thor: The Dark World"
"334","Drama","Romance","Titanic"
"335","Drama","Thriller","Titanic"
"336","Romance","Thriller","Titanic"
"337","Adventure","Family","Tomorrowland"
"338","Adventure","Mystery","Tomorrowland"
"339","Adventure","Science Fiction","Tomorrowland"
"340","Family","Mystery","Tomorrowland"
"341","Family","Science Fiction","Tomorrowland"
"342","Mystery","Science Fiction","Tomorrowland"
"343","Animation","Family","Toy Story 3"
"344","Animation","Comedy","Toy Story 3"
"345","Family","Comedy","Toy Story 3"
"346","Science Fiction","Action","Transformers: Age of Extinction"
"347","Science Fiction","Adventure","Transformers: Age of Extinction"
"348","Action","Adventure","Transformers: Age of Extinction"
"349","Action","Science Fiction","Transformers: Dark of the Moon"
"350","Action","Adventure","Transformers: Dark of the Moon"
"351","Science Fiction","Adventure","Transformers: Dark of the Moon"
"352","Adventure","Action","TRON: Legacy"
"353","Adventure","Science Fiction","TRON: Legacy"
"354","Action","Science Fiction","TRON: Legacy"
"355","Adventure","Drama","Troy"
"356","Adventure","War","Troy"
"357","Drama","War","Troy"
"358","Animation","Comedy","Up"
"359","Animation","Family","Up"
"360","Animation","Adventure","Up"
"361","Comedy","Family","Up"
"362","Comedy","Adventure","Up"
"363","Family","Adventure","Up"
"364","Animation","Family","WALLÂ·E"
"365","Action","Adventure","Warcraft"
"366","Action","Fantasy","Warcraft"
"367","Adventure","Fantasy","Warcraft"
"368","Adventure","Action","Waterworld"
"369","Action","Adventure","Wild Wild West"
"370","Action","Comedy","Wild Wild West"
"371","Action","Science Fiction","Wild Wild West"
"372","Action","Western","Wild Wild West"
"373","Adventure","Comedy","Wild Wild West"
"374","Adventure","Science Fiction","Wild Wild West"
"375","Adventure","Western","Wild Wild West"
"376","Comedy","Science Fiction","Wild Wild West"
"377","Comedy","Western","Wild Wild West"
"378","Science Fiction","Western","Wild Wild West"
"379","Action","Drama","World War Z"
"380","Action","Horror","World War Z"
"381","Action","Science Fiction","World War Z"
"382","Action","Thriller","World War Z"
"383","Drama","Horror","World War Z"
"384","Drama","Science Fiction","World War Z"
"385","Drama","Thriller","World War Z"
"386","Horror","Science Fiction","World War Z"
"387","Horror","Thriller","World War Z"
"388","Science Fiction","Thriller","World War Z"
"389","Family","Animation","Wreck-It Ralph"
"390","Family","Comedy","Wreck-It Ralph"
"391","Family","Adventure","Wreck-It Ralph"
"392","Animation","Comedy","Wreck-It Ralph"
"393","Animation","Adventure","Wreck-It Ralph"
"394","Comedy","Adventure","Wreck-It Ralph"
"395","Action","Adventure","X-Men: Days of Future Past"
"396","Action","Fantasy","X-Men: Days of Future Past"
"397","Action","Science Fiction","X-Men: Days of Future Past"
"398","Adventure","Fantasy","X-Men: Days of Future Past"
"399","Adventure","Science Fiction","X-Men: Days of Future Past"
"400","Fantasy","Science Fiction","X-Men: Days of Future Past"
"401","Action","Science Fiction","X-Men: First Class"
"402","Action","Adventure","X-Men: First Class"
"403","Science Fiction","Adventure","X-Men: First Class"
"404","Adventure","Action","X-Men: The Last Stand"
"405","Adventure","Science Fiction","X-Men: The Last Stand"
"406","Adventure","Thriller","X-Men: The Last Stand"
"407","Action","Science Fiction","X-Men: The Last Stand"
"408","Action","Thriller","X-Men: The Last Stand"
"409","Science Fiction","Thriller","X-Men: The Last Stand"
